run,turn,card_id,choice,resources,security,moral,progress
0,0,57,0,40,50,50,55
0,1,43,1,40,50,55,40
0,2,14,0,40,50,55,45
0,3,16,0,30,55,55,45
0,4,31,0,30,60,45,45
0,5,5,1,35,60,35,45
0,6,13,1,40,65,35,45
0,7,22,1,40,70,25,45
0,8,45,0,40,70,25,50
0,9,32,0,40,75,10,50
0,10,24,0,35,75,15,50
0,11,18,0,10,75,15,60
0,12,20,0,5,75,30,60
0,13,5,0,0,75,35,60
0,14,23,1,10,75,30,60
0,15,1,0,20,75,15,60
0,16,11,0,15,75,15,62
0,17,3,1,8,75,15,67
0,18,14,0,8,75,15,72
0,19,9,0,3,75,15,77
0,20,36,0,3,70,15,79
0,21,33,1,3,75,15,79
0,22,24,0,-2,75,20,79
0,23,22,0,-7,75,25,79
0,24,41,0,-17,85,25,79
0,25,6,1,-25,85,25,84
0,26,16,1,-25,85,15,84
0,27,34,0,-25,70,30,84
0,28,10,0,-30,75,30,84
0,29,18,0,-55,75,30,94
0,30,42,0,-63,75,30,104
0,31,41,1,-58,65,30,104
0,32,13,1,-53,70,30,104
0,33,38,1,-48,70,30,104
0,34,22,0,-53,70,35,104
0,35,40,0,-53,80,25,104
0,36,16,0,-63,85,25,104
0,37,12,1,-58,85,25,104
0,38,45,1,-58,90,25,104
0,39,37,1,-48,90,25,104
0,40,5,0,-53,90,30,104
0,41,15,1,-53,95,30,104
0,42,19,0,-73,95,40,114
0,43,47,1,-73,95,40,129
0,44,22,0,-78,95,45,129
0,45,41,1,-73,85,45,129
0,46,46,1,-68,85,45,124
0,47,7,0,-83,90,45,124
0,48,16,0,-93,95,45,124
0,49,26,1,-83,95,40,124
0,50,45,1,-83,100,40,124
0,51,5,1,-78,100,30,124
0,52,30,0,-78,100,20,134
0,53,13,0,-78,100,20,139
0,54,3,1,-85,100,20,144
0,55,12,1,-80,100,20,144
0,56,36,1,-80,105,20,139
0,57,43,0,-60,105,10,139
0,58,15,0,-40,100,10,139
0,59,48,0,-50,100,10,144
0,60,35,0,-50,108,-5,144
0,61,7,1,-45,108,-5,139
0,62,27,0,-35,93,-5,139
0,63,25,0,-35,88,5,139
0,64,12,1,-30,88,5,139
0,65,37,1,-20,88,5,139
0,66,5,1,-15,88,-5,139
0,67,43,0,5,88,-15,139
0,68,30,0,5,88,-25,149
0,69,6,0,15,88,-30,149
0,70,23,1,25,88,-35,149
0,71,41,1,30,78,-35,149
0,72,11,0,25,78,-35,151
0,73,58,1,25,83,-35,151
0,74,25,1,25,88,-45,151
0,75,44,1,30,88,-45,151
0,76,40,1,30,78,-35,151
0,77,7,0,15,83,-35,151
0,78,5,1,20,83,-45,151
0,79,18,1,30,83,-45,151
0,80,14,1,30,88,-45,151
0,81,16,1,30,88,-55,151
0,82,1,1,22,88,-50,151
0,83,28,0,12,88,-40,151
0,84,19,1,27,88,-40,151
0,85,20,0,22,88,-25,151
0,86,59,1,22,93,-25,151
0,87,14,1,22,98,-25,151
0,88,36,1,22,103,-25,146
0,89,37,0,10,113,-25,146
0,90,46,1,15,113,-25,141
0,91,5,0,10,113,-20,141
0,92,43,1,10,113,-15,126
0,93,14,0,10,113,-15,131
0,94,41,1,15,103,-15,131
0,95,10,0,10,108,-15,131
0,96,27,0,20,93,-15,131
0,97,60,1,20,103,-15,131
0,98,4,1,30,103,-15,126
0,99,42,0,22,103,-15,136
