run,turn,card_id,choice,resources,security,moral,progress
0,0,2,1,55,50,40,50
0,1,9,1,60,50,40,50
0,2,38,1,65,50,40,50
0,3,13,0,65,50,40,55
0,4,16,0,55,55,40,55
0,5,48,1,55,60,40,45
0,6,22,0,50,60,45,45
0,7,18,1,60,60,45,45
0,8,27,1,60,65,40,45
0,9,5,1,65,65,30,45
0,10,47,1,65,65,30,60
0,11,6,0,75,65,25,60
0,12,36,1,75,70,25,55
0,13,15,0,95,65,25,55
0,14,40,1,95,55,35,55
0,15,13,1,100,60,35,55
0,16,31,1,100,60,45,55
0,17,5,1,105,60,35,55
0,18,29,0,95,60,40,55
0,19,11,0,90,60,40,57
0,20,1,1,82,60,45,57
0,21,23,0,77,50,45,62
0,22,14,0,77,50,45,67
0,23,21,0,72,50,60,67
0,24,15,1,72,55,60,67
0,25,16,0,62,60,60,67
0,26,26,0,57,60,60,72
0,27,43,0,77,60,50,72
0,28,41,1,82,50,50,72
0,29,27,1,82,55,45,72
0,30,1,1,74,55,50,72
0,31,3,0,89,55,45,72
0,32,37,0,77,65,45,72
0,33,41,1,82,55,45,72
0,34,5,0,77,55,50,72
0,35,44,1,82,55,50,72
0,36,11,1,87,55,50,72
0,37,37,1,97,55,50,72
0,38,26,0,92,55,50,77
0,39,1,0,102,55,35,77
0,40,41,0,92,65,35,77
0,41,19,1,107,65,35,77
0,42,6,1,99,65,35,82
0,43,7,1,104,65,35,77
0,44,12,1,109,65,35,77
0,45,23,0,104,55,35,82
0,46,2,1,109,55,25,82
0,47,20,0,104,55,40,82
0,48,22,1,104,60,30,82
0,49,38,1,109,60,30,82
0,50,28,0,99,60,40,82
0,51,25,1,99,65,30,82
0,52,13,1,104,70,30,82
0,53,40,1,104,60,40,82
0,54,23,0,99,50,40,87
0,55,38,0,94,55,40,87
0,56,10,0,89,60,40,87
0,57,46,1,94,60,40,82
0,58,5,0,89,60,45,82
0,59,29,0,79,60,50,82
0,60,24,1,84,60,50,82
0,61,32,0,84,65,35,82
0,62,48,0,74,65,35,87
0,63,13,0,74,65,35,92
0,64,47,1,74,65,35,107
0,65,16,1,74,65,25,107
0,66,21,1,74,70,10,107
0,67,4,1,84,70,10,102
0,68,14,1,84,75,10,102
0,69,5,0,79,75,15,102
0,70,40,0,79,85,5,102
0,71,10,1,99,85,-5,102
0,72,37,0,87,95,-5,102
0,73,17,0,67,105,-5,102
0,74,39,0,60,110,-5,102
0,75,27,1,60,115,-10,102
0,76,48,0,50,115,-10,107
0,77,9,0,45,115,-10,112
0,78,33,1,45,120,-10,112
0,79,15,1,45,125,-10,112
0,80,5,1,50,125,-20,112
0,81,22,0,45,125,-15,112
0,82,2,0,35,125,-10,112
0,83,48,1,35,130,-10,102
0,84,24,0,30,130,-5,102
0,85,42,1,30,135,-5,102
0,86,13,0,30,135,-5,107
0,87,26,1,40,135,-10,107
0,88,15,1,40,140,-10,107
0,89,28,0,30,140,0,107
0,90,45,0,30,140,0,112
0,91,12,0,25,150,0,112
0,92,5,1,30,150,-10,112
0,93,4,0,15,155,-10,112
0,94,11,0,10,155,-10,114
0,95,30,0,10,155,-20,124
0,96,12,0,5,165,-20,124
0,97,27,1,5,170,-25,124
0,98,16,0,-5,175,-25,124
0,99,44,1,0,175,-25,124
1,0,38,1,55,50,50,50
1,1,9,0,50,50,50,55
1,2,25,1,50,55,40,55
1,3,2,0,40,55,45,55
1,4,3,1,33,55,45,60
1,5,5,0,28,55,50,60
1,6,23,1,38,55,45,60
1,7,4,1,48,55,45,55
1,8,38,0,43,60,45,55
1,9,3,0,58,60,40,55
1,10,18,0,33,60,40,65
1,11,36,0,33,55,40,67
1,12,5,0,28,55,45,67
1,13,31,1,28,55,55,67
1,14,26,0,23,55,55,72
1,15,3,0,38,55,50,72
1,16,2,1,43,55,40,72
1,17,46,1,48,55,40,67
1,18,28,0,38,55,50,67
1,19,11,0,33,55,50,69
1,20,47,0,58,55,50,69
1,21,15,0,78,50,50,69
1,22,6,0,88,50,45,69
1,23,14,1,88,55,45,69
1,24,10,1,108,55,35,69
1,25,4,0,93,60,35,69
1,26,3,1,86,60,35,74
1,27,19,1,101,60,35,74
1,28,23,0,96,50,35,79
1,29,39,1,101,50,35,74
1,30,5,0,96,50,40,74
1,31,17,1,81,50,50,74
1,32,9,1,86,50,50,74
1,33,43,0,106,50,40,74
1,34,12,1,111,50,40,74
1,35,48,0,101,50,40,79
1,36,42,1,101,55,40,79
1,37,23,0,96,45,40,84
1,38,46,1,101,45,40,79
1,39,7,1,106,45,40,74
1,40,20,1,106,50,25,74
1,41,15,1,106,55,25,74
1,42,16,1,106,55,15,74
1,43,2,0,96,55,20,74
1,44,25,1,96,60,10,74
1,45,12,0,91,70,10,74
1,46,3,1,84,70,10,79
1,47,20,1,84,75,-5,79
1,48,23,1,94,75,-10,79
1,49,29,0,84,75,-5,79
1,50,12,0,79,85,-5,79
1,51,26,0,74,85,-5,84
1,52,22,1,74,90,-15,84
1,53,45,1,74,95,-15,84
1,54,14,1,74,100,-15,84
1,55,16,1,74,100,-25,84
1,56,36,0,74,95,-25,86
1,57,17,1,59,95,-15,86
1,58,25,0,59,90,-5,86
1,59,1,1,51,90,0,86
1,60,13,0,51,90,0,91
1,61,39,1,56,90,0,86
1,62,41,1,61,80,0,86
1,63,37,0,49,90,0,86
1,64,8,0,49,95,-10,86
1,65,12,1,54,95,-10,86
1,66,5,1,59,95,-20,86
1,67,43,1,59,95,-15,71
1,68,37,1,69,95,-15,71
1,69,45,1,69,100,-15,71
1,70,27,1,69,105,-20,71
1,71,25,1,69,110,-30,71
1,72,29,1,69,125,-50,71
1,73,9,1,74,125,-50,71
1,74,46,0,67,125,-50,76
1,75,22,1,67,130,-60,76
1,76,37,1,77,130,-60,76
1,77,48,0,67,130,-60,81
1,78,15,0,87,125,-60,81
1,79,40,0,87,135,-70,81
1,80,43,1,87,135,-65,66
1,81,44,0,87,135,-55,71
1,82,45,0,87,135,-55,76
1,83,41,0,77,145,-55,76
1,84,32,0,77,150,-70,76
1,85,7,1,82,150,-70,71
1,86,24,1,87,150,-70,71
1,87,33,1,87,155,-70,71
1,88,9,1,92,155,-70,71
1,89,16,0,82,160,-70,71
1,90,10,1,102,160,-80,71
1,91,22,0,97,160,-75,71
1,92,15,0,117,155,-75,71
1,93,9,1,122,155,-75,71
1,94,23,1,132,155,-80,71
1,95,10,0,127,160,-80,71
1,96,3,1,120,160,-80,76
1,97,14,1,120,165,-80,76
1,98,1,1,112,165,-75,76
1,99,34,0,112,150,-60,76
2,0,23,0,45,40,50,55
2,1,16,0,35,45,50,55
2,2,44,1,40,45,50,55
2,3,2,0,30,45,55,55
2,4,1,1,22,45,60,55
2,5,30,0,22,45,50,65
2,6,26,1,32,45,45,65
2,7,25,1,32,50,35,65
2,8,37,1,42,50,35,65
2,9,45,0,42,50,35,70
2,10,1,1,34,50,40,70
2,11,10,0,29,55,40,70
2,12,15,1,29,60,40,70
2,13,38,1,34,60,40,70
2,14,31,1,34,60,50,70
2,15,23,0,29,50,50,75
2,16,3,1,22,50,50,80
2,17,22,1,22,55,40,80
