run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,45,55,0,175,-25,124
1,45,55,112,150,-60,76
2,39,61,62,80,20,132
3,40,60,52,255,-175,85
4,38,62,116,105,25,92
5,41,59,74,98,-25,116
6,41,59,-29,205,-20,76
7,43,57,129,130,-55,188
8,38,62,-40,110,35,115
9,41,59,157,88,-10,29
10,44,56,55,100,-45,93
11,42,58,151,145,-120,135
12,37,63,31,115,-50,108
13,44,56,73,38,65,132
14,43,57,81,180,-70,129
15,40,60,87,125,-130,111
16,44,56,34,183,-50,139
17,43,57,148,110,-85,147
18,43,57,143,155,-30,116
19,40,60,115,128,50,101
20,39,61,8,170,-50,117
21,41,59,204,63,-30,132
22,37,63,180,50,5,129
23,40,60,43,100,70,106
24,38,62,104,185,-75,101
25,39,61,-76,185,5,145
26,39,61,92,135,-15,117
27,41,59,258,120,-15,99
28,43,57,141,140,-30,94
29,41,59,83,195,-120,134
30,40,60,3,200,-15,87
31,40,60,290,70,-125,124
32,43,57,154,155,20,104
33,42,58,135,140,15,87
34,40,60,58,140,-55,159
35,38,62,1,135,20,97
36,39,61,83,145,-80,119
37,39,61,-124,185,95,94
38,41,59,157,148,-140,79
39,40,60,198,85,-50,66
40,38,62,-23,180,-65,134
41,42,58,249,145,-120,126
42,38,62,33,160,10,94
43,42,58,156,118,-30,102
44,43,57,10,135,50,95
45,39,61,18,135,-15,134
46,38,62,179,70,-35,89
47,41,59,92,165,-25,109
48,39,61,192,95,-40,100
49,40,60,116,115,40,119
50,40,60,144,135,-120,118
51,44,56,201,180,-95,124
52,39,61,48,125,55,86
53,38,62,140,115,-20,104
54,41,59,-27,170,5,138
55,40,60,76,140,-55,116
56,44,56,145,108,-20,147
57,40,60,-166,225,75,187
58,38,62,90,170,-95,72
59,40,60,172,103,0,108
60,41,59,116,160,-65,112
61,39,61,130,115,-15,117
62,39,61,85,155,-30,117
63,40,60,203,215,-90,98
64,40,60,79,110,-100,198
65,41,59,-41,140,-5,156
66,42,58,98,85,-5,137
67,43,57,261,168,-100,93
68,38,62,88,165,-95,105
69,42,58,16,140,80,122
70,38,62,72,190,-155,166
71,41,59,-26,175,60,108
72,43,57,64,65,60,109
73,39,61,-6,185,20,67
74,43,57,100,205,-125,79
75,39,61,4,175,0,123
76,43,57,113,153,-100,121
77,43,57,83,190,-130,50
78,45,55,244,115,-125,91
79,42,58,97,210,-130,152
80,43,57,119,145,20,91
81,41,59,63,160,-25,119
82,43,57,89,125,-10,101
83,44,56,73,75,45,164
84,44,56,47,115,-105,195
85,43,57,100,125,0,48
86,39,61,88,125,-55,116
87,41,59,60,180,-130,138
88,41,59,271,95,-85,117
89,43,57,94,105,-40,173
90,41,59,27,180,-25,114
91,41,59,103,225,-125,105
92,41,59,58,120,60,72
93,43,57,180,180,-200,101
94,42,58,161,203,-75,21
95,41,59,192,60,15,102
96,41,59,138,185,-70,116
97,40,60,21,125,-30,124
98,42,58,-13,190,-35,127
99,43,57,94,140,10,138
