run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,35,65,-42,170,10,166
1,40,60,36,160,-100,136
2,38,62,101,215,-120,52
3,38,62,54,180,-95,154
4,40,60,63,140,-160,105
5,41,59,86,115,0,130
6,39,61,113,145,-90,116
7,41,59,119,255,-200,77
8,38,62,91,190,-60,120
9,40,60,-27,190,-25,106
10,36,64,24,160,-155,168
11,36,64,-31,145,0,101
12,39,61,82,170,-35,111
13,36,64,-5,175,-70,87
14,37,63,229,130,-35,61
15,36,64,47,185,35,113
16,38,62,61,105,60,134
17,41,59,-105,165,-25,125
18,38,62,-15,205,-40,111
19,38,62,25,185,40,131
20,39,61,69,160,-55,109
21,37,63,104,130,0,159
22,33,67,71,110,-50,91
23,39,61,14,125,-65,124
24,35,65,-66,265,30,84
25,37,63,73,155,-75,95
26,41,59,-178,130,80,170
27,36,64,149,105,-35,49
28,40,60,169,135,-60,114
29,37,63,84,155,-90,141
30,36,64,172,160,-85,73
31,40,60,-54,215,-40,75
32,38,62,65,160,-50,109
33,37,63,8,205,-10,80
34,38,62,27,180,0,92
35,42,58,88,175,-35,79
36,38,62,-13,170,-35,135
37,40,60,65,200,-240,138
38,37,63,-29,155,10,163
39,35,65,-8,130,10,115
40,40,60,120,215,-130,102
41,36,64,7,215,-20,67
42,41,59,31,175,-55,102
43,38,62,187,70,25,68
44,38,62,223,110,-140,123
45,39,61,39,195,-125,88
46,39,61,125,130,-135,95
47,39,61,81,160,-60,135
48,39,61,-51,180,-105,120
49,35,65,81,50,-15,106
50,39,61,59,190,-110,102
51,38,62,-78,150,-55,171
52,39,61,-8,190,-20,67
53,39,61,66,170,-50,140
54,40,60,-30,125,15,151
55,37,63,103,180,-105,119
56,40,60,-40,230,-100,92
57,35,65,82,235,-115,130
58,35,65,171,140,-50,84
59,36,64,180,165,-180,127
60,35,65,172,175,-160,122
61,40,60,146,205,-105,107
62,39,61,-8,135,-70,172
63,35,65,22,215,-85,157
64,38,62,103,180,-105,106
65,37,63,-21,140,40,116
66,38,62,-23,195,-55,122
67,39,61,-3,160,-15,142
68,35,65,-62,195,-30,109
69,38,62,109,165,-20,69
70,37,63,185,55,25,136
71,36,64,108,135,-75,81
72,38,62,61,170,0,109
73,39,61,151,190,-150,98
74,37,63,160,135,-15,97
75,39,61,34,145,35,113
76,36,64,145,165,-80,86
77,36,64,36,190,-30,87
78,39,61,32,120,-45,129
79,36,64,27,230,5,119
80,35,65,49,185,-50,136
81,38,62,0,185,-25,114
82,34,66,-15,130,50,121
83,37,63,26,125,-105,170
84,36,64,-73,160,-5,113
85,39,61,33,260,10,54
86,39,61,23,170,25,103
87,36,64,27,160,-15,146
88,35,65,56,130,-95,104
89,39,61,98,160,-50,124
90,35,65,239,130,-120,89
91,33,67,-16,170,15,114
92,36,64,122,75,20,119
93,38,62,188,95,-110,160
94,38,62,75,190,-75,114
95,37,63,39,215,-95,99
96,39,61,98,120,-65,94
97,36,64,-20,185,-75,150
98,39,61,104,125,-50,112
99,39,61,-47,205,-135,128
