run,turn,card_id,choice,resources,security,moral,progress
0,0,26,1,60,50,45,50
0,1,10,0,55,55,45,50
0,2,20,0,50,55,60,50
0,3,41,1,55,45,60,50
0,4,14,0,55,45,60,55
0,5,44,1,60,45,60,55
0,6,42,1,60,50,60,55
0,7,22,0,55,50,65,55
0,8,39,0,48,55,65,55
0,9,45,1,48,60,65,55
0,10,23,1,58,60,60,55
0,11,7,0,43,65,60,55
0,12,12,1,48,65,60,55
0,13,26,0,43,65,60,60
0,14,36,1,43,70,60,55
0,15,24,1,48,70,60,55
0,16,6,1,40,70,60,60
0,17,2,0,30,70,65,60
0,18,43,1,30,70,70,45
0,19,28,1,40,70,70,45
0,20,5,1,45,70,60,45
0,21,3,0,60,70,55,45
0,22,11,0,55,70,55,47
0,23,21,1,55,75,40,47
0,24,1,0,65,75,25,47
0,25,27,0,75,60,25,47
0,26,44,0,75,60,35,52
0,27,14,1,75,65,35,52
0,28,25,0,75,60,45,52
0,29,22,0,70,60,50,52
0,30,38,0,65,65,50,52
0,31,41,0,55,75,50,52
0,32,12,0,50,85,50,52
0,33,2,1,55,85,40,52
0,34,30,1,55,85,50,52
0,35,11,1,60,85,50,52
0,36,18,0,35,85,50,62
0,37,3,0,50,85,45,62
0,38,4,1,60,85,45,57
0,39,1,0,70,85,30,57
0,40,17,1,55,85,40,57
0,41,40,1,55,75,50,57
0,42,16,1,55,75,40,57
0,43,44,1,60,75,40,57
0,44,45,1,60,80,40,57
0,45,12,0,55,90,40,57
0,46,13,0,55,90,40,62
0,47,19,0,35,90,50,72
0,48,20,0,30,90,65,72
0,49,14,0,30,90,65,77
0,50,5,0,25,90,70,77
0,51,21,0,20,90,85,77
0,52,16,0,10,95,85,77
0,53,2,0,0,95,90,77
0,54,3,1,-7,95,90,82
0,55,29,0,-17,95,95,82
0,56,36,1,-17,100,95,77
0,57,48,0,-27,100,95,82
0,58,46,0,-34,100,95,87
0,59,44,0,-34,100,105,92
0,60,7,0,-49,105,105,92
0,61,41,1,-44,95,105,92
0,62,23,0,-49,85,105,97
0,63,26,0,-54,85,105,102
0,64,16,1,-54,85,95,102
0,65,10,1,-34,85,85,102
0,66,42,0,-42,85,85,112
0,67,9,0,-47,85,85,117
0,68,25,1,-47,90,75,117
0,69,8,1,-57,90,75,122
0,70,45,1,-57,95,75,122
0,71,2,1,-52,95,65,122
0,72,11,0,-57,95,65,124
0,73,14,1,-57,100,65,124
0,74,18,1,-47,100,65,124
0,75,29,1,-47,115,45,124
0,76,1,0,-37,115,30,124
0,77,20,1,-37,120,15,124
0,78,6,1,-45,120,15,129
0,79,26,1,-35,120,10,129
0,80,43,0,-15,120,0,129
0,81,8,1,-25,120,0,134
0,82,12,0,-30,130,0,134
0,83,22,1,-30,135,-10,134
0,84,5,0,-35,135,-5,134
0,85,44,0,-35,135,5,139
0,86,37,0,-47,145,5,139
0,87,9,1,-42,145,5,139
0,88,4,0,-57,150,5,139
0,89,41,1,-52,140,5,139
0,90,10,1,-32,140,-5,139
0,91,23,1,-22,140,-10,139
0,92,17,1,-37,140,0,139
0,93,1,1,-45,140,5,139
0,94,47,1,-45,140,5,154
0,95,16,1,-45,140,-5,154
0,96,15,0,-25,135,-5,154
0,97,25,1,-25,140,-15,154
0,98,40,0,-25,150,-25,154
0,99,22,1,-25,155,-35,154
1,0,38,0,45,55,50,50
1,1,1,0,55,55,35,50
1,2,20,0,50,55,50,50
1,3,42,0,42,55,50,60
1,4,11,1,47,55,50,60
1,5,2,0,37,55,55,60
1,6,15,0,57,50,55,60
1,7,13,1,62,55,55,60
1,8,14,0,62,55,55,65
1,9,28,1,72,55,55,65
1,10,22,0,67,55,60,65
1,11,39,0,60,60,60,65
1,12,12,1,65,60,60,65
1,13,9,0,60,60,60,70
1,14,4,1,70,60,60,65
1,15,3,0,85,60,55,65
1,16,11,0,80,60,55,67
1,17,41,1,85,50,55,67
1,18,8,0,85,55,45,67
1,19,5,0,80,55,50,67
1,20,37,1,90,55,50,67
1,21,38,1,95,55,50,67
1,22,13,1,100,60,50,67
1,23,2,1,105,60,40,67
1,24,44,1,110,60,40,67
1,25,18,1,120,60,40,67
1,26,1,0,130,60,25,67
1,27,4,1,140,60,25,62
1,28,45,0,140,60,25,67
1,29,25,0,140,55,35,67
1,30,9,1,145,55,35,67
1,31,23,0,140,45,35,72
1,32,41,0,130,55,35,72
1,33,39,0,123,60,35,72
1,34,17,0,103,70,35,72
1,35,10,1,123,70,25,72
1,36,40,1,123,60,35,72
1,37,3,0,138,60,30,72
1,38,36,1,138,65,30,67
1,39,8,0,138,70,20,67
1,40,20,0,133,70,35,67
1,41,24,1,138,70,35,67
1,42,4,0,123,75,35,67
1,43,2,0,113,75,40,67
1,44,5,0,108,75,45,67
1,45,41,1,113,65,45,67
1,46,26,0,108,65,45,72
1,47,10,0,103,70,45,72
1,48,22,0,98,70,50,72
