run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,43,57,-25,155,-35,154
1,40,60,85,115,20,132
2,42,58,67,180,-55,79
3,39,61,60,120,90,86
4,41,59,84,115,-50,159
5,37,63,-5,130,-30,60
6,40,60,-12,200,-50,122
7,39,61,30,150,-80,112
8,38,62,83,165,-140,164
9,39,61,-41,185,-55,116
10,40,60,48,75,-120,173
11,41,59,152,165,-80,87
12,40,60,36,230,-65,87
13,41,59,1,120,-25,154
14,40,60,58,195,-75,82
15,42,58,167,190,-75,75
16,39,61,-5,120,-55,152
17,41,59,213,150,-125,84
18,41,59,111,175,-105,137
19,40,60,95,90,-50,48
20,39,61,73,200,30,112
21,40,60,50,130,5,113
22,40,60,-64,195,95,95
23,40,60,174,105,-75,92
24,40,60,-28,215,20,95
25,37,63,68,160,-120,137
26,39,61,54,155,-40,119
27,40,60,24,235,-150,114
28,41,59,31,325,-135,80
29,40,60,30,140,-20,122
30,42,58,44,210,-45,78
31,39,61,-61,135,-15,144
32,42,58,-52,170,35,171
33,38,62,-19,155,-10,85
34,39,61,278,145,-125,47
35,41,59,109,190,-100,86
36,41,59,6,190,-10,99
37,39,61,-75,175,-50,134
38,39,61,92,120,-55,124
39,39,61,100,95,-20,71
40,41,59,-65,205,-95,170
41,36,64,177,165,-85,144
42,40,60,26,250,-80,109
43,41,59,40,185,-95,123
44,42,58,33,225,-25,97
45,37,63,59,215,-40,83
46,38,62,13,200,-30,116
47,42,58,-31,235,-50,106
48,37,63,44,190,-85,84
49,41,59,168,165,-165,93
50,42,58,63,100,-10,154
51,38,62,70,110,-5,166
52,39,61,88,80,0,119
53,36,64,-29,125,10,151
54,39,61,-4,95,-45,189
55,41,59,66,140,-30,74
56,39,61,16,95,-20,166
57,39,61,43,185,-145,110
58,38,62,96,185,-165,94
59,41,59,85,145,-60,104
60,42,58,80,200,-45,84
61,41,59,170,145,-145,94
62,38,62,78,75,80,136
63,41,59,78,85,-55,131
64,43,57,161,110,-40,100
65,40,60,-86,145,40,138
66,39,61,-48,160,-15,141
67,39,61,-38,195,-85,118
68,39,61,-27,225,-85,117
69,42,58,-20,75,40,151
70,37,63,112,150,-110,142
71,40,60,-27,205,-85,104
72,40,60,-21,235,-90,161
73,41,59,-17,135,-10,198
74,42,58,-68,195,60,131
75,41,59,44,180,-35,123
76,39,61,84,105,5,90
77,40,60,194,55,10,112
78,40,60,79,125,-70,116
79,38,62,51,165,-10,94
80,40,60,-47,150,30,159
81,41,59,21,140,20,81
82,40,60,100,95,-5,103
83,38,62,-32,180,-85,108
84,41,59,12,125,-90,157
85,37,63,34,230,-70,107
86,38,62,108,200,-10,99
87,40,60,-15,150,-40,127
88,39,61,111,120,-20,66
89,40,60,136,140,-170,129
90,40,60,-8,185,0,121
91,39,61,-109,130,5,132
92,40,60,-3,145,15,103
93,38,62,83,150,-90,123
94,38,62,93,165,-70,77
95,38,62,138,150,-75,87
96,41,59,24,150,-75,143
97,40,60,59,140,-95,64
98,43,57,-55,180,-55,107
99,39,61,40,150,25,94
