run,unique_cards,repetitions,final_resources,final_security,final_moral,final_progress
0,41,59,115,178,-55,129
1,40,60,195,125,0,101
2,43,57,89,185,-85,87
3,42,58,-72,145,15,133
4,44,56,75,65,-20,168
5,45,55,209,153,-115,99
6,43,57,23,195,35,114
7,45,55,37,105,140,137
8,43,57,103,158,-65,133
9,44,56,43,105,5,122
10,45,55,-9,125,95,87
11,44,56,171,128,-45,132
12,44,56,97,140,-100,111
13,44,56,9,150,30,111
14,41,59,69,145,-60,113
15,42,58,47,200,-45,95
16,43,57,162,188,-80,62
17,40,60,-13,165,30,64
18,42,58,20,170,15,81
19,44,56,143,110,-20,111
20,44,56,-16,230,-75,82
21,43,57,62,150,-25,59
22,42,58,188,145,-15,77
23,41,59,62,153,20,94
24,43,57,98,155,-40,80
25,45,55,73,98,5,119
26,42,58,-8,100,0,169
27,42,58,-19,165,45,159
28,40,60,118,120,-40,118
29,43,57,182,265,-115,111
30,46,54,82,223,-45,44
31,41,59,70,215,-110,119
32,40,60,11,155,-70,164
33,45,55,21,145,-55,146
34,41,59,85,145,-80,106
35,47,53,75,173,-155,124
36,44,56,92,185,-145,109
37,45,55,232,185,-135,98
38,42,58,15,110,-80,154
39,41,59,73,125,-55,159
40,41,59,68,180,-140,102
41,44,56,97,100,55,78
42,44,56,153,165,-90,100
43,42,58,62,93,30,170
44,43,57,-39,150,40,143
45,40,60,94,150,-75,209
46,43,57,-18,160,-75,99
47,41,59,93,180,-55,82
48,43,57,-69,225,-55,103
49,44,56,124,203,-165,131
50,42,58,51,193,-65,118
51,44,56,-42,240,30,117
52,44,56,12,198,-70,136
53,44,56,86,168,-5,131
54,45,55,23,248,-135,136
55,42,58,21,210,-5,81
56,44,56,-94,185,10,101
57,40,60,24,145,-100,187
58,39,61,-21,185,55,127
59,43,57,187,105,-20,97
60,42,58,102,105,55,132
61,43,57,173,150,-135,112
62,43,57,67,158,-45,92
63,45,55,95,190,-185,149
64,45,55,90,223,-130,94
65,47,53,68,130,-70,127
66,45,55,-28,150,5,106
67,45,55,-58,175,20,124
68,45,55,-26,160,-5,92
69,45,55,47,160,-50,134
70,45,55,31,200,-60,96
71,42,58,15,110,-5,128
72,46,54,37,210,-90,104
73,39,61,-28,190,65,83
74,42,58,0,175,-30,131
75,44,56,113,205,-190,125
76,45,55,162,158,-95,126
77,43,57,15,168,10,110
78,43,57,38,200,-70,109
79,43,57,26,160,-45,136
80,42,58,83,115,-70,157
81,44,56,79,145,-25,131
82,42,58,155,70,-25,142
83,43,57,83,180,-60,104
84,42,58,125,175,-20,103
85,42,58,196,110,-70,125
86,42,58,140,125,-70,106
87,43,57,126,150,-85,106
88,39,61,66,150,-60,132
89,42,58,120,190,-60,64
90,43,57,27,175,-35,101
91,41,59,75,185,5,100
92,45,55,-5,198,20,104
93,46,54,162,150,5,118
94,46,54,204,100,-60,109
95,44,56,-54,185,15,152
96,45,55,227,130,-90,72
97,42,58,147,135,-25,109
98,45,55,2,173,-10,144
99,45,55,-25,153,70,154
