run,turn,card_id,choice,resources,security,moral,progress
0,0,9,1,55,50,50,50
0,1,57,1,55,55,50,50
0,2,2,0,45,55,55,50
0,3,15,1,45,60,55,50
0,4,20,0,40,60,70,50
0,5,16,1,40,60,60,50
0,6,13,0,40,60,60,55
0,7,25,1,40,65,50,55
0,8,12,0,35,75,50,55
0,9,31,0,35,80,40,55
0,10,28,1,45,80,40,55
0,11,19,1,60,80,40,55
0,12,23,0,55,70,40,60
0,13,5,1,60,70,30,60
0,14,15,1,60,75,30,60
0,15,29,0,50,75,35,60
0,16,10,0,45,80,35,60
0,17,45,0,45,80,35,65
0,18,42,0,37,80,35,75
0,19,16,0,27,85,35,75
0,20,20,0,22,85,50,75
0,21,4,1,32,85,50,70
0,22,1,1,24,85,55,70
0,23,47,1,24,85,55,85
0,24,23,0,19,75,55,90
0,25,21,1,19,80,40,90
0,26,41,0,9,90,40,90
0,27,11,0,4,90,40,92
0,28,15,1,4,95,40,92
0,29,32,1,4,85,55,92
0,30,22,0,-1,85,60,92
0,31,8,1,-11,85,60,97
0,32,33,1,-11,90,60,97
0,33,3,0,4,90,55,97
0,34,34,1,19,90,55,97
0,35,20,0,14,90,70,97
0,36,4,0,-1,95,70,97
0,37,37,1,9,95,70,97
0,38,40,1,9,85,80,97
0,39,6,0,19,85,75,97
0,40,26,1,29,85,70,97
0,41,21,0,24,85,85,97
0,42,44,0,24,85,95,102
0,43,14,1,24,90,95,102
0,44,38,0,19,95,95,102
0,45,5,1,24,95,85,102
0,46,10,0,19,100,85,102
0,47,1,0,29,100,70,102
0,48,25,1,29,105,60,102
0,49,43,1,29,105,65,87
0,50,16,0,19,110,65,87
0,51,22,1,19,115,55,87
0,52,4,0,4,120,55,87
0,53,20,0,-1,120,70,87
0,54,26,0,-6,120,70,92
0,55,24,0,-11,120,75,92
0,56,41,1,-6,110,75,92
0,57,6,1,-14,110,75,97
0,58,15,0,6,105,75,97
0,59,2,1,11,105,65,97
0,60,10,1,31,105,55,97
0,61,12,0,26,115,55,97
0,62,17,1,11,115,65,97
0,63,13,0,11,115,65,102
